"Sr No","SAP ID",DATE,TIME,CH1_Voltage,CH1_Current,CH1_KW,CH1_KWH,CH2_Voltage,CH2_Current,CH2_KW,CH2_KWH,CH3_Voltage,CH3_Current,CH3_KW,CH3_KWH,CH4_Voltage,CH4_Current,CH4_KW,CH4_KWH
1,I-MU-BHND-ENB-9139,13-06-2022,15:22:30,53.1,040.4,2.14,3103.134,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
2,I-MU-BHND-ENB-9139,13-06-2022,14:22:07,53.2,041.2,2.19,3100.862,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
3,I-MU-BHND-ENB-9139,13-06-2022,13:21:50,53.2,042.5,2.26,3098.378,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
4,I-MU-BHND-ENB-9139,13-06-2022,12:21:37,53.1,039.4,2.30,3096.103,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
5,I-MU-BHND-ENB-9139,13-06-2022,11:21:25,53.0,046.2,2.44,3093.818,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
6,I-MU-BHND-ENB-9139,13-06-2022,10:21:04,53.1,042.6,2.26,3091.530,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
7,I-MU-BHND-ENB-9139,13-06-2022,09:20:49,53.2,039.9,2.12,3089.229,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
8,I-MU-BHND-ENB-9139,13-06-2022,08:20:27,53.2,038.0,2.02,3087.039,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
9,I-MU-BHND-ENB-9139,13-06-2022,07:20:08,53.3,035.7,1.90,3085.075,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
10,I-MU-BHND-ENB-9139,13-06-2022,06:19:56,53.5,027.4,1.46,3083.304,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
11,I-MU-BHND-ENB-9139,13-06-2022,05:19:43,53.5,025.4,1.35,3081.853,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
12,I-MU-BHND-ENB-9139,13-06-2022,04:19:26,53.5,026.8,1.43,3080.450,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
13,I-MU-BHND-ENB-9139,13-06-2022,03:19:03,53.4,030.5,1.62,3078.935,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
14,I-MU-BHND-ENB-9139,13-06-2022,02:18:51,53.3,030.2,1.60,3077.304,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
15,I-MU-BHND-ENB-9139,13-06-2022,01:18:39,53.4,028.7,1.53,3075.521,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
16,I-MU-BHND-ENB-9139,13-06-2022,00:17:48,53.2,048.3,2.56,3073.335,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
17,I-MU-BHND-ENB-9139,12-06-2022,23:17:28,53.1,049.1,2.60,3070.834,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
18,I-MU-BHND-ENB-9139,12-06-2022,22:17:16,53.1,049.4,2.62,3068.277,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
19,I-MU-BHND-ENB-9139,12-06-2022,21:16:54,52.9,041.7,2.20,3065.782,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
20,I-MU-BHND-ENB-9139,12-06-2022,20:16:37,53.1,046.0,2.44,3063.371,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
21,I-MU-BHND-ENB-9139,12-06-2022,19:16:15,53.1,044.1,2.34,3061.013,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
22,I-MU-BHND-ENB-9139,12-06-2022,18:16:00,53.1,043.4,2.30,3058.681,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
23,I-MU-BHND-ENB-9139,12-06-2022,17:15:36,53.0,045.7,2.42,3056.343,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
24,I-MU-BHND-ENB-9139,12-06-2022,16:15:13,53.0,046.3,2.45,3054.050,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
25,I-MU-BHND-ENB-9139,12-06-2022,15:14:53,53.0,046.2,2.44,3051.696,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
26,I-MU-BHND-ENB-9139,12-06-2022,14:14:33,53.1,046.1,2.44,3049.253,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
27,I-MU-BHND-ENB-9139,12-06-2022,13:14:10,53.1,043.2,2.29,3046.842,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
28,I-MU-BHND-ENB-9139,12-06-2022,12:13:58,53.1,041.5,2.20,3044.531,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
29,I-MU-BHND-ENB-9139,12-06-2022,11:13:24,53.0,043.8,2.32,3042.276,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
30,I-MU-BHND-ENB-9139,12-06-2022,10:13:06,53.0,047.6,2.52,3039.993,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
31,I-MU-BHND-ENB-9139,12-06-2022,09:12:46,53.1,044.2,2.34,3037.745,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
32,I-MU-BHND-ENB-9139,12-06-2022,08:12:24,53.3,036.9,1.96,3035.574,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
33,I-MU-BHND-ENB-9139,12-06-2022,07:12:12,53.4,032.3,1.72,3033.598,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
34,I-MU-BHND-ENB-9139,12-06-2022,06:11:50,53.4,028.2,1.50,3031.850,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
35,I-MU-BHND-ENB-9139,12-06-2022,05:11:30,53.5,026.3,1.40,3030.385,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
36,I-MU-BHND-ENB-9139,12-06-2022,04:11:16,53.5,027.7,1.48,3028.990,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
37,I-MU-BHND-ENB-9139,12-06-2022,03:10:55,53.5,032.1,1.71,3027.436,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
38,I-MU-BHND-ENB-9139,12-06-2022,02:10:34,53.3,038.7,2.06,3025.805,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
39,I-MU-BHND-ENB-9139,12-06-2022,01:10:08,53.3,036.5,1.94,3023.942,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
40,I-MU-BHND-ENB-9139,12-06-2022,00:09:49,53.2,046.7,2.48,3021.718,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
41,I-MU-BHND-ENB-9139,11-06-2022,23:09:33,53.1,048.7,2.54,3019.228,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
42,I-MU-BHND-ENB-9139,11-06-2022,22:09:11,53.0,050.3,2.66,3016.633,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
43,I-MU-BHND-ENB-9139,11-06-2022,21:08:48,53.0,050.3,2.66,3014.109,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
44,I-MU-BHND-ENB-9139,11-06-2022,20:08:26,53.2,046.1,2.35,3011.651,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
45,I-MU-BHND-ENB-9139,11-06-2022,19:08:12,53.0,042.3,2.24,3009.285,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
46,I-MU-BHND-ENB-9139,11-06-2022,18:07:51,53.1,046.5,2.46,3007.041,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,--.-,---.-,0.00,0.000,
